,Model,RAM,Screen,Operating System,Storage,Type Storage,Speed,Price
24,AMD Ryzen 5 3450U Mobile Processor,8GB ,15.6 Inch,Windows 11,256GB ,SSD,Up to 3.5GHz,"111,999 - PKR"
25,Core i7 12th Generation  i7-1255U,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.7 GHz,"206,999 - PKR"
26,Core  i5 12th Generation  i5-1235U,8GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.40 GHz,"158,999 - PKR"
27,Core i7 12th Generation  i7-1255u,16GB  ,15.6 Inch,Windows 11,512GB ,SSD,up to 4.7 GHz,"223,999 - PKR"
28,Core i7 12th Generation i7-12700H,16GB ,15.6 Inch,Windows 11,512GB ,SSD,up to 4.7 GHz,"331,999 - PKR"
29,Core i3 12th Generation  i3-1215U,4GB,14 INCHES,DOS,256GB ,SSD,up to 4.4 GHz,"89,999 - PKR"
30,Core i3 12th Generation  i3-1215U,4GB,15.6 Inch,Windows 11,256GB ,SSD,up to 4.4 GHz,"121,999 - PKR"
31,AMD Ryzen R7 5700U,12GB,15.6 Inch,Windows 11,512GB ,SSD,up to 4.1 GHz,"163,999 - PKR"
32,Core i3 12th Generation  i3-1215U,4GB,14 INCHES,DOS,256GB ,SSD,up to 4.4 GHz,"98,499 - PKR"
33,Apple M1 Pro chip,32GB  ,14.2 Inches,Mac OS,512GB SSD,SSD,NA,"669,999 - PKR"
34,Intel Celeron N4020,4GB,15.6 Inch,Windows 10,1 TB, HDD,up to 2.8 GH,"59,999 - PKR"
35,Core i7 12th Generation  i7-1255U,16GB ,13.5 Inch,Windows 11,1 TB,SSD,up to 4.7 GHz,"386,999 - PKR"
36,Core i7 12th Generation i7-12700H,16GB ,15.6 Inch,Windows 11,1 TB,SSD,up to 4.7 GHz,"367,999 - PKR"
37,AMD Ryzen 5 5500U,8GB ,16 inches ,Windows 11,512GB,SSD,up to 4.2GHz,"169,999 - PKR"
